,rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
0,2869,3600,3.0,2,900,4,1.0,15,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
14,4544,2300,2.0,1,750,14,1.0,85,0,0,0,0,0,0,0,0,Red Hook,Brooklyn
29,1388,2299,3.0,1,1000,8,1.0,106,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
32,6408,4000,1.0,2,900,3,1.0,106,1,1,1,1,1,1,0,1,Williamsburg,Brooklyn
33,7191,2995,4.0,1,2000,5,1.0,4,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
38,4123,3500,4.0,2,1500,7,1.0,86,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
41,4857,2600,3.0,1,800,3,1.0,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
46,2915,1875,0.0,1,460,7,1.0,116,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
58,7906,1650,1.0,1,620,1,1.0,90,0,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
67,1189,2250,1.0,0,700,9,1.0,85,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
87,1442,2300,1.0,1,1000,7,1.0,107,0,0,0,0,0,0,0,0,Crown Heights,Brooklyn
92,5422,3500,3.0,1,914,5,1.0,85,0,0,1,0,0,0,0,0,Crown Heights,Brooklyn
118,3843,2225,0.0,1,536,5,1.0,8,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
123,6037,2400,2.0,1,700,1,1.0,106,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
126,5642,1500,0.0,0,400,2,1.0,103,0,0,0,0,0,0,0,0,Crown Heights,Brooklyn
128,3551,3800,2.0,1,1312,12,1.0,9,1,0,0,1,1,1,0,0,Clinton Hill,Brooklyn
135,4106,2800,4.0,1,1000,6,1.0,110,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
163,6620,2395,3.0,1,950,4,1.0,109,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
169,4298,2599,2.0,1,800,5,1.0,106,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
170,62,2100,1.0,1,900,7,1.0,13,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
175,7383,3000,3.0,1,1000,14,1.0,96,0,0,0,0,0,0,0,0,Fort Greene,Brooklyn
178,10629,3400,3.0,2,1500,5,1.0,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
191,5034,1900,2.0,1,900,4,1.0,96,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
202,10845,2300,3.0,1,850,7,1.0,92,0,0,0,0,0,0,0,0,Bay Ridge,Brooklyn
224,3715,4800,3.0,2,1500,7,1.0,106,0,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
232,10394,4500,3.0,1,1000,4,1.0,85,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
233,7196,2650,2.0,1,777,4,1.0,15,0,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
262,6622,4500,3.0,1,1500,2,1.0,6,0,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
276,6584,1650,0.5,1,750,4,1.0,75,0,0,0,0,0,0,0,0,Kensington,Brooklyn
292,533,1995,2.0,2,845,3,1.0,111,0,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
298,9450,3400,3.0,2,1500,5,1.0,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
301,9555,2000,0.0,1,450,8,1.0,111,0,0,0,0,0,0,0,0,Fort Greene,Brooklyn
307,4078,3499,2.0,2,1600,5,1.0,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
308,9755,3800,3.0,1,1000,14,1.0,96,0,0,0,0,0,0,0,0,Fort Greene,Brooklyn
312,3648,1425,1.0,1,650,4,1.0,88,0,0,0,0,0,0,0,0,Bay Ridge,Brooklyn
318,10646,3995,3.5,2,1500,3,1.0,85,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
336,7619,3100,1.0,1,950,4,1.0,96,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
354,1582,2750,2.0,1,900,7,1.0,96,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
355,1789,4000,3.0,1,800,3,1.0,96,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
357,6264,2446,2.0,1,1000,8,1.0,88,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
361,7715,1800,1.0,1,700,5,1.0,87,0,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
373,9853,4395,2.0,2,1300,3,1.0,79,0,0,0,0,0,1,0,0,Prospect Heights,Brooklyn
380,4305,3675,1.0,1,704,3,1.0,116,1,0,0,0,0,0,0,0,DUMBO,Brooklyn
387,10674,1750,0.0,1,500,8,1.0,96,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
388,3959,3795,3.0,1,1150,6,1.0,116,0,1,1,1,1,1,0,1,Cobble Hill,Brooklyn
389,4743,1425,0.0,1,490,6,1.0,56,1,0,0,0,0,0,0,0,Brighton Beach,Brooklyn
393,1144,2200,1.0,1,800,6,1.0,85,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
415,6437,4000,3.0,1,1800,6,1.0,5,0,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
426,47,3333,0.0,1,1025,8,1.0,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
433,4816,1550,1.0,1,900,10,1.0,85,0,0,0,0,0,0,0,0,Sheepshead Bay,Brooklyn
440,2732,2100,2.0,1,1000,0,1.0,115,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
442,8999,2800,1.0,1,700,7,1.0,101,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
444,8848,2300,1.0,1,650,2,1.0,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
452,10281,2700,0.0,1,908,6,1.0,101,1,0,0,0,0,0,0,0,Greenpoint,Brooklyn
466,6523,1800,0.0,1,350,6,1.0,11,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
469,3167,1800,1.0,1,900,6,1.0,56,0,0,0,0,0,0,0,0,Bay Ridge,Brooklyn
475,4773,3000,3.0,1,900,2,1.0,85,1,0,0,0,0,0,0,0,Prospect Lefferts Gardens,Brooklyn
485,9380,4349,3.5,3,1900,5,1.0,85,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
498,10637,1550,1.0,1,682,4,1.0,96,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
507,601,3800,2.0,1,1700,5,1.0,8,1,0,0,0,0,0,0,0,Greenpoint,Brooklyn
516,10471,2300,2.0,1,800,1,1.0,86,0,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
520,4661,3400,1.0,1,684,6,1.0,6,1,1,0,0,1,0,0,1,Williamsburg,Brooklyn
522,9797,2769,2.0,1,900,4,1.0,86,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
534,11199,3390,2.0,1,1500,3,1.0,106,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
535,10017,2300,3.0,1,850,7,1.0,92,0,0,0,0,0,0,0,0,Bay Ridge,Brooklyn
540,10773,2400,1.0,1,746,2,1.0,86,0,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
543,6502,3100,1.0,1,1000,5,1.0,8,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
549,1905,2350,1.0,1,650,4,1.0,14,0,0,1,1,1,1,0,1,DUMBO,Brooklyn
560,11160,1800,1.0,1,850,9,1.0,55,0,0,0,1,0,0,0,0,Kensington,Brooklyn
564,11043,1800,1.0,1,650,5,1.0,91,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
565,6558,2875,0.0,1,648,8,1.0,3,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
570,4364,3485,2.0,1,1200,8,1.0,11,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
612,6902,2950,2.0,2,870,8,1.0,12,0,0,0,0,0,0,0,0,Greenwood,Brooklyn
614,4863,3300,1.0,1,735,8,1.0,3,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
626,6944,2500,1.0,1,1000,2,1.0,96,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
632,4499,4500,5.0,2,1600,6,1.0,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
640,5014,4750,2.0,1,1200,2,1.0,10,0,0,0,0,1,0,0,0,Carroll Gardens,Brooklyn
642,10927,3525,3.0,2,1800,11,1.0,117,0,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
679,8657,3400,2.0,1,800,5,1.0,117,0,0,0,0,0,0,0,0,Fort Greene,Brooklyn
681,9060,3349,2.5,1,1000,3,1.0,106,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
702,5723,3500,2.0,1,850,2,1.0,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
703,7721,4250,2.0,1,1000,4,1.0,85,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
711,9259,3100,1.0,1,950,2,1.0,7,1,0,0,0,0,0,0,0,Greenpoint,Brooklyn
729,7189,2850,2.0,1,750,4,1.0,116,0,0,0,0,0,0,0,0,Gowanus,Brooklyn
732,3713,2850,2.0,1,900,6,1.0,85,0,0,0,0,1,0,0,0,Park Slope,Brooklyn
734,10297,5262,2.0,2,1188,8,1.0,3,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
741,11198,2699,3.0,1,900,5,1.0,106,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
742,10028,3500,1.0,1,966,3,1.0,114,0,0,1,0,0,0,0,0,Prospect Heights,Brooklyn
753,702,2500,1.0,1,500,2,1.0,49,1,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
763,2602,3675,2.0,1,1000,3,1.0,111,1,0,1,0,1,1,0,0,Boerum Hill,Brooklyn
764,7789,3100,0.0,1,800,2,1.0,9,0,1,0,1,0,0,0,1,Williamsburg,Brooklyn
766,8178,5000,3.0,2,1000,3,1.0,88,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
767,4412,3117,1.0,1,740,8,1.0,116,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
775,6605,4500,4.5,2,2000,8,1.0,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
780,10420,8500,3.0,3,2500,4,1.0,7,0,1,0,1,1,0,0,1,Park Slope,Brooklyn
