,Unnamed: 0,rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
75,256,9903,27285599,3631,1.0,1,707,3,1.0,71,1,0,0,0,0,0,0,0,Stuyvesant Town/PCV,All Downtown,Manhattan
80,274,10349,96878637,5995,1.0,2,1815,4,1.0,96,0,0,0,1,1,0,0,1,Financial District,All Downtown,Manhattan
94,314,2147,95557456,3190,1.0,1,650,6,1.0,106,0,0,0,0,0,0,0,0,East Village,All Downtown,Manhattan
111,374,10552,98314227,2995,1.0,1,800,4,1.0,66,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
135,444,4128,40263491,6000,1.0,1,801,1,1.0,3,0,0,0,0,0,0,0,0,East Village,All Downtown,Manhattan
140,463,251,97062977,1800,1.0,1,670,4,1.0,116,1,1,1,1,1,1,0,1,East Harlem,All Upper Manhattan,Manhattan
182,612,8584,86972089,3900,1.0,1,850,3,1.0,106,0,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
244,819,4970,90060271,3900,1.0,1,560,2,1.0,106,0,1,0,0,0,0,0,1,West Village,All Downtown,Manhattan
255,858,8259,54052503,2050,1.0,1,450,6,1.0,106,0,0,0,0,0,0,0,0,Gramercy Park,All Downtown,Manhattan
334,1146,9783,37773081,3250,1.0,1,900,2,1.0,91,0,0,0,0,0,0,0,0,Morningside Heights,All Upper Manhattan,Manhattan
335,1149,1509,23395007,1990,1.0,1,475,10,1.0,106,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
336,1154,7818,10969521,2600,1.0,1,650,6,1.0,106,1,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
370,1263,5001,61087133,2750,1.0,1,550,8,1.0,96,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
438,1473,5197,55918091,3645,1.0,1,811,14,1.0,55,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
458,1550,2137,7397895,2125,1.0,1,475,2,1.0,115,0,0,0,0,0,0,0,0,Central Harlem,All Upper Manhattan,Manhattan
459,1560,9131,77385580,3195,1.0,1,700,3,1.0,41,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
463,1567,7681,34836874,3000,1.0,1,667,4,1.0,88,0,0,1,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
531,1771,345,54642186,1995,1.0,1,625,5,1.0,96,0,0,0,0,0,0,0,0,Washington Heights,All Upper Manhattan,Manhattan
